<A>  team is known as ?,SELECT DISTINCT ?uri where { <A> dbp:teamName ?uri }
<A> and <B> debuted their career with which common team?,SELECT DISTINCT ?uri where { <B> dbp:debutteam ?uri . <A> dbp:debutteam ?uri }
<A> born ice hockey players have stopped playing for which teams?,SELECT DISTINCT ?uri where { ?x dbo:birthPlace <A> . ?x dbo:formerTeam ?uri . ?x a dbo:IceHockeyPlayer }
<A> colored horses have won which races?,SELECT DISTINCT ?uri where { ?x dbo:colour <A> . ?x dbo:honours ?uri . ?x a dbo:Horse }
<A> has how many american football teams?,SELECT DISTINCT COUNT(?uri) where { ?uri dbp:city <A> . ?uri a dbo:AmericanFootballTeam }
<A> is played by which countries' citizens?,SELECT DISTINCT ?uri where { ?x dbo:occupation <A> . ?x dbo:stateOfOrigin ?uri }
<A> is the coach of which basketball team ?,SELECT DISTINCT ?uri where { ?uri dbp:coach <A> . ?uri a dbo:BasketballTeam }
<A> is the president of which basketball team ?,SELECT DISTINCT ?uri where { ?uri dbp:president <A> . ?uri a dbo:BasketballTeam }
<A> is the team of which basketball players?,SELECT DISTINCT ?uri where { ?uri dbp:team <A> . ?uri a dbo:BasketballPlayer }
<A> owns which american football team?,SELECT DISTINCT ?uri where { ?uri dbo:owner <A> . ?uri a dbo:AmericanFootballTeam }
<A> serves as president for which basketball team?,SELECT DISTINCT ?uri where { ?uri dbp:president <A> }
<A>' horses have raced in which races?,SELECT DISTINCT ?uri where { ?x dbo:trainer <A> . ?x dbp:race ?uri . ?x a dbo:Horse }
<A>'s ice hockey players have been a part of which teams?,SELECT DISTINCT ?uri where { ?x dbp:placeOfBirth <A> . ?x dbo:team ?uri . ?x a dbo:IceHockeyPlayer }
<A>'s trained horses have won which awards?,SELECT DISTINCT ?uri where { ?x dbp:trainer <A> . ?x dbo:honours ?uri . ?x a dbo:Horse }
<B> and <A> played their first match for which team?,SELECT DISTINCT ?uri where { <B> dbp:debutteam ?uri . <A> dbp:debutteam ?uri }
<B> has a stadium in <A>?,ASK where { <B> dbo:stadium <A> }
<B> plays for the <A> national team?,ASK where { <B> dbp:nationalteam <A> }
Among which basket ball team having arena as <B> has president as <A> ?,SELECT DISTINCT ?uri where { ?uri dbp:arena <B> . ?uri dbp:president <A> . ?uri a dbo:BasketballTeam }
Count all american football players whose former team owns <A> ?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:city <A> . ?uri dbo:formerTeam ?x . ?uri a dbo:AmericanFootballPlayer }
Count all the universities who participated in the tournament won by <A> ?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:champion <A> . ?uri dbp:athletics ?x . ?uri a dbo:University }
Count all those who previously played for a team which ownes <A> ?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:field <A> . ?uri dbo:formerTeam ?x }
Count all those who've played for the youth club which owns the <A> stadium.,SELECT DISTINCT COUNT(?uri) where { ?x dbp:ground <A> . ?uri dbp:youthclubs ?x }
Count all those whose youth club was managed by <A>.,SELECT DISTINCT COUNT(?uri) where { ?x dbp:manager <A> . ?uri dbp:youthclubs ?x }
Count all those whose youthclub performed at the <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:season <A> . ?uri dbp:youthclubs ?x . ?uri a dbo:Athlete }
Count everyone who was in a youthclub chaired by <A> ?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:chairman <A> . ?uri dbp:youthclubs ?x }
Count the number of  sport played by the school which also plays <A> ?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:sport <A> . ?x dbo:sport ?uri }
Count the number of first drivers in all the GPs where <A> was a first driver?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:poleDriver <A> . ?x dbo:firstDriver ?uri . ?uri a dbo:RacingDriver }
Count the number of sports played by schools which play <A> ?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:sport <A> . ?x dbo:sport ?uri }
Count the number of sports played by the universities whihc also plays <A> ?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:athletics <A> . ?x dbp:athletics ?uri }
Count the number of sports played by the universities whose one of the sports is <A> ?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:athletics <A> . ?x dbp:athletics ?uri }
Count the number of sports played by university which also plays <A> ?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:athletics <A> . ?x dbp:athletics ?uri }
Count the number of sports team members  which have player named <A> ?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:name <A> . ?x dbp:name ?uri }
Count the number teams which have  former ice hockey players which also included <A> ?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:formerTeam <A> . ?x dbo:formerTeam ?uri }
Count the participants of the <A>.,SELECT DISTINCT COUNT(?uri) where { ?uri dbo:league <A> }
Count the sports played at universities located in <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:campus <A> . ?x dbo:sport ?uri }
Count the tenants of the stadiums designed by <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:architect <A> . ?x dbo:tenant ?uri }
Count the tenants of the stadiums owned by <A>.,SELECT DISTINCT COUNT(?uri) where { ?x dbp:owner <A> . ?x dbp:tenants ?uri }
Current players of <A> have previously played for how many different teams?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:team <A> . ?x dbo:formerTeam ?uri . ?uri a dbo:SportsTeam }
Did <A> manage a club at the <B>?,ASK where { <A> dbp:managerclubs <B> }
Did <A> manage a club of <B>,ASK where { <A> dbo:managerClub <B> }
Did <B> play for the <A>?,ASK where { <B> dbp:pastteams <A> }
Did <B> train <A>,ASK where { <A> dbp:trainer <B> }
Does <A> play as <B>?,ASK where { <A> dbp:position <B> }
Does <A> play as a <B>?,ASK where { <A> dbo:position <B> }
Does <A> play for <B>?,ASK where { <A> dbp:currentTeam <B> }
Does <A> play for the <B>?,ASK where { <A> dbp:currentclub <B> }
Does <A> play for the <B>'s national team?,ASK where { <A> dbp:nationalteam <B> }
Does <A> play in the <B>?,ASK where { <A> dbp:nationalteam <B> }
Does <B> belong in the <A> club?,ASK where { <B> dbp:club <A> }
Does <B> currently play for <A>?,ASK where { <B> dbp:currentclub <A> }
Does <B> play as a <A>?,ASK where { <B> dbo:position <A> }
Does <B> play for the <A>?,ASK where { <B> dbp:club <A> }
Does <B> play in <A>?,ASK where { <B> dbp:nationalteam <A> }
Enumerate all the first teams of the GPs which were held in <A>,SELECT DISTINCT COUNT(?uri) where { ?x dbp:location <A> . ?x dbp:firstTeam ?uri }
Estimate the number of sports divisions at the universities under <A>.,SELECT DISTINCT COUNT(?uri) where { ?x dbo:affiliation <A> . ?x dbo:sport ?uri }
Find the total number of tenants of the stadium whose tenants was <A>?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:tenants <A> . ?x dbp:tenants ?uri }
For how many cities's teams did <A> play?,SELECT DISTINCT COUNT(?uri) where { <A> dbo:formerTeam ?x . ?x dbo:locationCity ?uri . ?x a dbo:SportsTeam }
For how many different teams have <A> been drafted ?,SELECT DISTINCT COUNT(?uri) where { ?x dbp:placeOfBirth <A> . ?x dbo:draftTeam ?uri }
For how many different teams have the players debuted in <A> played?,SELECT DISTINCT COUNT(?uri) where { ?x dbo:debutTeam <A> . ?x dbo:team ?uri . ?uri a dbo:SportsTeam }
